gene,name,molecule,if_important
97,LMBRD1,gene,0
98,BAI3,gene,0
99,GM20172,gene,0
100,4931408C20RIK,gene,0
101,GM597,gene,0
102,PHF3,gene,0
103,PTP4A1,gene,0
104,GM13363,gene,0
105,4931428L18RIK,gene,0
106,LGSN,gene,0
107,4930521A18RIK,gene,0
108,GM4850,gene,0
109,KHDRBS2,gene,0
110,GM9839,gene,0
111,GM5415,gene,0
112,PRIM2,gene,0
113,1700001G17RIK,gene,0
114,RAB23,gene,0
115,BAG2,gene,0
116,ZFP451,gene,0
117,GM15455,gene,0
118,BEND6,gene,0
119,DST,gene,0
120,MIR5103,gene,0
121,CCDC115,gene,0
122,IMP4,gene,0
123,PTPN18,gene,0
124,PRSS39,gene,0
125,CFC1,gene,0
126,PRSS40,gene,0
127,FAM123C,gene,0
128,AA619741,gene,0
129,ARHGEF4,gene,0
130,FAM168B,gene,0
131,PLEKHB2,gene,0
132,HS6ST1,gene,0
133,UGGT1,gene,0
134,NEURL3,gene,0
135,ARID5A,gene,0
136,4632411B12RIK,gene,0
137,LMAN2L,gene,0
138,CNNM4,gene,0
139,CNNM3,gene,0
140,ANKRD23,gene,0
141,ANKRD39,gene,0
142,SEMA4C,gene,0
143,FAM178B,gene,0
144,COX5B,gene,0
145,ACTR1B,gene,0
146,4933424G06RIK,gene,0
147,ZAP70,gene,0
148,TMEM131,gene,0
149,CNGA3,gene,0
150,INPP4A,gene,0
151,6330578E17RIK,gene,0
152,UNC50,gene,0
153,MGAT4A,gene,0
154,4930594C11RIK,gene,0
155,2010300C02RIK,gene,0
156,TSGA10,gene,0
157,LIPT1,gene,0
158,MITD1,gene,0
159,MRPL30,gene,0
160,LYG2,gene,0
161,LYG1,gene,0
162,TXNDC9,gene,0
163,EIF5B,gene,0
164,REV1,gene,0
165,AFF3,gene,0
166,LONRF2,gene,0
167,CHST10,gene,0
168,NMS,gene,0
169,PDCL3,gene,0
170,NPAS2,gene,0
171,RPL31,gene,0
172,TBC1D8,gene,0
173,D1BWG0212E,gene,0
174,SNORD89,gene,0
175,RNF149,gene,0
176,CREG2,gene,0
177,RFX8,gene,0
178,GM3646,gene,0
179,1700066B17RIK,gene,0
180,MAP4K4,gene,0
181,GM16894,gene,0
182,IL1R2,gene,0
183,IL1R1,gene,0
184,IL1RL2,gene,0
185,IL1RL1,gene,0
186,IL18R1,gene,0
187,IL18RAP,gene,0
188,SLC9A4,gene,0
189,SLC9A2,gene,0
190,MFSD9,gene,0
191,TMEM182,gene,0
192,4930448I06RIK,gene,0
193,2610017I09RIK,gene,0
194,POU3F3,gene,0
195,2900092D14RIK,gene,0
196,MRPS9,gene,0
197,GPR45,gene,0
198,TGFBRAP1,gene,0
199,AI597479,gene,0
200,FHL2,gene,0
201,NCK2,gene,0
202,1500015O10RIK,gene,0
203,UXS1,gene,0
204,TPP2,gene,0
205,A530098C11RIK,gene,0
206,1700029F09RIK,gene,0
207,KDELC1,gene,0
208,BIVM,gene,0
209,ERCC5,gene,0
210,4832428D23RIK,gene,0
211,GULP1,gene,0
212,4930521E06RIK,gene,0
213,COL3A1,gene,0
214,COL5A2,gene,0
215,WDR75,gene,0
216,SLC40A1,gene,0
217,GM3852,gene,0
218,GM4776,gene,0
219,DNAHC7B,gene,0
220,SLC39A10,gene,0
221,TMEFF2,gene,0
222,9330175M20RIK,gene,0
223,SDPR,gene,0
224,OBFC2A,gene,0
225,MYO1B,gene,0
226,STAT4,gene,0
227,STAT1,gene,0
228,GLS,gene,0
229,NAB1,gene,0
230,TMEM194B,gene,0
231,MFSD6,gene,0
232,INPP1,gene,0
233,HIBCH,gene,0
234,1700019D03RIK,gene,0
235,MSTN,gene,0
236,1700019A02RIK,gene,0
237,PMS1,gene,0
238,ORMDL1,gene,0
239,OSGEPL1,gene,0
240,ASNSD1,gene,0
241,DNAHC7A,gene,0
242,STK17B,gene,0
243,HECW2,gene,0
244,CCDC150,gene,0
245,GTF3C3,gene,0
246,PGAP1,gene,0
247,ANKRD44,gene,0
248,SF3B1,gene,0
249,COQ10B,gene,0
250,HSPD1,gene,0
251,HSPE1,gene,0
252,MOB4,gene,0
253,RFTN2,gene,0
254,44622,gene,0
255,BOLL,gene,0
256,PLCL1,gene,0
257,9130227L01RIK,gene,0
258,HSFY2,gene,0
259,SATB2,gene,0
260,9130024F11RIK,gene,0
261,BC055402,gene,0
262,4930558J18RIK,gene,0
263,1700066M21RIK,gene,0
264,1110034B05RIK,gene,0
265,9430016H08RIK,gene,0
266,SPATS2L,gene,0
267,KCTD18,gene,0
268,SGOL2,gene,0
269,AOX1,gene,0
270,AOX3,gene,0
271,AOX4,gene,0
272,AOX3L1,gene,0
273,BZW1,gene,0
274,CLK1,gene,0
275,PPIL3,gene,0
276,NIF3L1,gene,0
277,ORC2,gene,0
278,FAM126B,gene,0
279,NDUFB3,gene,0
280,GM20257,gene,0
281,ALS2CR12,gene,0
282,CFLAR,gene,0
283,CASP8,gene,0
284,TRAK2,gene,0
285,STRADB,gene,0
286,ALS2CR11,gene,0
287,ALS2CR4,gene,0
288,MPP4,gene,0
289,ALS2,gene,0
290,CDK15,gene,1
291,FZD7,gene,0
292,GM973,gene,0
293,SUMO1,gene,0
294,NOP58,gene,0
295,SNORD70,gene,0
296,SNORD11,gene,0
297,BMPR2,gene,0
298,FAM117B,gene,0
299,ICA1L,gene,0
300,WDR12,gene,0
301,CARF,gene,0
302,NBEAL1,gene,0
303,CYP20A1,gene,0
304,ABI2,gene,0
305,RAPH1,gene,0
306,CD28,gene,0
307,CTLA4,gene,0
308,ICOS,gene,0
309,9530026F06RIK,gene,0
310,PARD3B,gene,0
311,NRP2,gene,0
312,4930487H11RIK,gene,0
313,INO80D,gene,0
314,GM11602,gene,0
315,NDUFS1,gene,0
316,EEF1B2,gene,0
317,SNORA41,gene,0
318,GPR1,gene,0
319,ZDBF2,gene,0
320,ADAM23,gene,0
321,DYTN,gene,0
322,MDH1B,gene,0
323,FASTKD2,gene,0
324,4933402D24RIK,gene,0
325,GM13749,gene,0
326,KLF7,gene,0
327,CREB1,gene,0
328,METTL21A,gene,0
329,2810408I11RIK,gene,0
330,CCNYL1,gene,0
331,FZD5,gene,0
332,PLEKHM3,gene,0
333,AKR1CL,gene,0
334,CRYGE,gene,0
335,CRYGD,gene,0
336,CRYGC,gene,0
337,CRYGB,gene,0
338,CRYGA,gene,0
339,D630023F18RIK,gene,0
340,IDH1,gene,0
341,PIKFYVE,gene,0
342,PTH2R,gene,0
343,CRYGF,gene,0
344,MTAP2,gene,1
345,UNC80,gene,1
346,RPE,gene,0
347,1110028C15RIK,gene,0
348,ACADL,gene,0
349,MYL1,gene,0
350,LANCL1,gene,0
351,CPS1,gene,0
352,ERBB4,gene,0
353,IKZF2,gene,0
354,SPAG16,gene,0
355,VWC2L,gene,0
356,BARD1,gene,0
357,ABCA12,gene,0
358,ATIC,gene,0
359,FN1,gene,0
360,APOL7D,gene,0
361,GM8883,gene,0
362,4933417E11RIK,gene,0
363,MREG,gene,1
364,PECR,gene,0
365,TMEM169,gene,0
366,XRCC5,gene,0
367,40972,gene,0
368,SMARCAL1,gene,0
369,ANKAR,gene,0
370,RPL37A,gene,0
371,IGFBP2,gene,0
372,IGFBP5,gene,0
373,TNP1,gene,0
374,1700027A15RIK,gene,0
375,PINC,gene,0
376,D530049I02RIK,gene,0
377,6030407O03RIK,gene,0
378,TNS1,gene,0
379,RUFY4,gene,0
380,CXCR2,gene,0
381,CXCR1,gene,0
382,ARPC2,gene,0
383,GPBAR1,gene,0
384,AAMP,gene,0
385,PNKD_LOC2,gene,0
386,PNKD_LOC1,gene,0
387,TMBIM1,gene,0
388,GM216,gene,0
389,SLC11A1,gene,0
390,CTDSP1,gene,0
391,MIR26B,gene,0
392,VIL1,gene,0
393,USP37,gene,0
394,RQCD1,gene,0
395,PLCD4,gene,0
396,ZFP142,gene,0
397,BCS1L,gene,0
398,RNF25,gene,0
399,STK36,gene,0
400,TTLL4,gene,0
401,CYP27A1,gene,0
402,PRKAG3,gene,0
403,WNT6,gene,0
404,WNT10A,gene,0
405,CDK5R2,gene,0
406,FEV,gene,0
407,CRYBA2,gene,0
408,MIR375,gene,0
409,CCDC108,gene,0
410,IHH,gene,0
411,NHEJ1,gene,0
412,SLC23A3,gene,0
413,1810031K17RIK,gene,0
414,FAM134A,gene,0
415,ZFAND2B,gene,0
416,ABCB6,gene,0
417,ATG9A,gene,0
418,ANKZF1,gene,0
419,GLB1L,gene,0
420,STK16,gene,0
421,TUBA4A,gene,1
422,A630095N17RIK,gene,0
423,DNAJB2,gene,0
424,PTPRN,gene,1
425,RESP18,gene,1
426,DNPEP,gene,0
427,DES,gene,0
428,GM15179,gene,0
429,SPEG,gene,0
430,GMPPA,gene,0
431,ACCN4,gene,0
432,CHPF,gene,0
433,TMEM198,gene,0
434,OBSL1,gene,0
435,INHA,gene,0
436,STK11IP,gene,0
437,SLC4A3,gene,0
438,GM17751,gene,0
439,EPHA4,gene,0
440,PAX3,gene,0
441,SGPP2,gene,0
442,FARSB,gene,0
443,MOGAT1,gene,0
444,ACSL3,gene,1
445,UTP14B,gene,0
446,KCNE4,gene,0
447,SCG2,gene,1
448,AP1S3,gene,0
449,WDFY1,gene,0
450,MRPL44,gene,0
451,SERPINE2,gene,0
452,FAM124B,gene,0
453,CUL3,gene,0
454,1700016L21RIK,gene,0
455,DOCK10,gene,0
456,9430031J16RIK,gene,0
457,IRS1,gene,1
458,RHBDD1,gene,0
459,COL4A4,gene,0
460,COL4A3,gene,0
461,MFF,gene,0
462,TM4SF20,gene,0
463,AGFG1,gene,0
464,SLC19A3,gene,0
465,CCL20,gene,0
466,WDR69,gene,0
467,SPHKAP,gene,1
468,PID1,gene,0
469,DNER,gene,0
470,MIR5126,gene,0
471,TRIP12,gene,0
472,FBXO36,gene,0
473,SLC16A14,gene,0
474,A530032D15RIK,gene,0
475,GM7609,gene,0
476,C130026I21RIK,gene,0
477,SP110,gene,0
478,SP140,gene,0
479,SP100,gene,0
480,A630001G21RIK,gene,0
481,CAB39,gene,0
482,ITM2C,gene,0
483,4933407L21RIK,gene,0
484,GPR55,gene,0
485,SPATA3,gene,0
486,2810459M11RIK,gene,0
487,PSMD1,gene,0
488,HTR2B,gene,0
489,ARMC9,gene,0
490,B3GNT7,gene,0
491,NCL,gene,0
492,SNORA75,gene,0
493,SNORD82,gene,0
494,C130036L24RIK,gene,0
495,NMUR1,gene,0
496,1700019O17RIK,gene,0
497,PTMA,gene,1
498,PDE6D,gene,0
499,COPS7B,gene,0
500,NPPC,gene,0
501,DIS3L2,gene,0
502,ALPPL2,gene,0
503,ALPI,gene,0
504,AKP3,gene,0
505,ECEL1,gene,0
506,PRSS56,gene,0
507,CHRND,gene,0
508,CHRNG,gene,0
509,EIF4E2,gene,0
510,EFHD1,gene,0
511,GIGYF2,gene,0
512,KCNJ13,gene,0
513,3110079O15RIK,gene,0
514,NGEF,gene,0
515,NEU2,gene,0
516,INPP5D,gene,0
517,ATG16L1,gene,0
518,SCARNA6,gene,0
519,SAG,gene,0
520,DGKD,gene,0
521,USP40,gene,0
522,UGT1A10,gene,0
523,UGT1A9,gene,0
524,UGT1A7C,gene,0
525,UGT1A6B,gene,0
526,UGT1A6A,gene,0
527,UGT1A5,gene,0
528,UGT1A2,gene,0
529,DNAJB3,gene,0
530,UGT1A1,gene,0
531,HEATR7B1,gene,0
532,HJURP,gene,0
533,6430706D22RIK,gene,0
534,A730008H23RIK,gene,0
535,TRPM8,gene,0
536,SPP2,gene,0
537,GLRP1,gene,0
538,GM19589,gene,0
539,ARL4C,gene,0
540,2410088K16RIK,gene,0
541,1700067G17RIK,gene,0
542,SH3BP4,gene,0
543,C030007H22RIK,gene,0
544,AGAP1,gene,0
545,4933400F21RIK,gene,0
546,GBX2,gene,0
547,ASB18,gene,0
548,IQCA,gene,0
549,CXCR7,gene,0
550,COPS8,gene,0
551,COL6A3,gene,0
552,MLPH,gene,0
553,PRLH,gene,0
554,RAB17,gene,0
555,LRRFIP1,gene,0
556,RBM44,gene,0
557,RAMP1,gene,0
558,UBE2F,gene,0
559,SCLY,gene,0
560,ESPNL,gene,0
561,KLHL30,gene,0
562,FAM132B,gene,0
563,ILKAP,gene,0
564,1700020N18RIK,gene,0
565,HES6,gene,0
566,PER2,gene,0
567,TRAF3IP1,gene,0
568,ASB1,gene,0
569,TWIST2,gene,0
570,HDAC4,gene,0
571,NDUFA10,gene,0
572,OLFR1416,gene,0
573,OLFR1415,gene,0
574,OLFR1414,gene,0
575,OLFR1413,gene,0
576,OLFR1412,gene,0
577,OLFR1411,gene,0
578,OLFR1410,gene,0
579,OLFR12,gene,0
580,MYEOV2,gene,0
581,OTOS,gene,0
582,GPC1,gene,0
583,MIR149,gene,0
584,ANKMY1,gene,0
585,DUSP28,gene,0
586,RNPEPL1,gene,0
587,9430060I03RIK,gene,0
588,CAPN10,gene,0
589,GPR35,gene,0
590,AQP12,gene,0
591,KIF1A,gene,0
592,AGXT,gene,0
593,2310007B03RIK,gene,0
594,SNED1,gene,0
595,MTERFD2,gene,0
596,PASK,gene,0
597,PPP1R7,gene,0
598,ANO7,gene,0
599,HDLBP,gene,0
600,41154,gene,0
601,FARP2,gene,0
602,STK25,gene,0
603,BOK,gene,0
604,THAP4,gene,0
605,ATG4B,gene,0
606,DTYMK,gene,0
607,ING5,gene,0
608,D2HGDH,gene,0
609,GAL3ST2,gene,0
610,GM9994,gene,0
611,GM6086,gene,0
612,NEU4,gene,0
613,PDCD1,gene,0
614,4930440C22RIK,gene,0
615,FAM174A,gene,0
616,ST8SIA4,gene,0
617,4930598F16RIK,gene,0
618,1700063A18RIK,gene,0
619,4930533P14RIK,gene,0
620,SLCO4C1,gene,0
621,SLCO6B1,gene,0
622,SLCO6C1,gene,0
623,D1ERTD622E,gene,0
624,PPIP5K2,gene,0
625,GIN1,gene,0
626,PAM,gene,0
627,B230216N24RIK,gene,0
628,1810006J02RIK,gene,0
629,SLCO6D1,gene,0
630,CNTNAP5B,gene,0
631,GM20268,gene,0
632,CDH20,gene,0
633,RNF152,gene,0
634,PIGN,gene,0
635,2310035C23RIK,gene,0
636,TNFRSF11A,gene,0
637,ZCCHC2,gene,0
638,LOC626049,gene,0
639,PHLPP1,gene,0
640,BCL2,gene,0
641,KDSR,gene,0
642,VPS4B,gene,0
643,SERPINB5,gene,0
644,SERPINB12,gene,0
645,SERPINB13,gene,0
646,SERPINB3A,gene,0
647,SERPINB3D,gene,0
648,SERPINB3B,gene,0
649,SERPINB3C,gene,0
650,SERPINB11,gene,0
651,SERPINB7,gene,0
652,SERPINB2,gene,0
653,SERPINB10-PS,gene,0
654,SERPINB8,gene,0
655,CDH7,gene,0
656,CDH19,gene,0
657,DSEL,gene,0
658,CNTNAP5A,gene,0
659,TSN,gene,0
660,MKI67IP,gene,0
661,CLASP1,gene,0
662,2900060B14RIK,gene,0
663,TFCP2L1,gene,0
664,GLI2,gene,0
665,INHBB,gene,0
666,RALB,gene,0
667,TMEM185B,gene,0
668,EPB4.1L5,gene,0
669,PTPN4,gene,0
670,TMEM177,gene,0
671,GM101,gene,0
672,SCTR,gene,0
673,TMEM37,gene,0
674,DBI,gene,0
675,3110009E18RIK,gene,0
676,STEAP3,gene,0
677,C1QL2,gene,0
678,MARCO,gene,0
679,EN1,gene,0
680,B230209K01RIK,gene,0
681,INSIG2,gene,0
682,CCDC93,gene,0
683,HTR5B,gene,0
684,DDX18,gene,0
685,DPP10,gene,1
686,ACTR3,gene,0
687,SLC35F5,gene,0
688,GPR39,gene,0
689,LYPD1,gene,0
690,NCKAP5,gene,0
691,MGAT5,gene,0
692,TMEM163,gene,0
693,ACMSD,gene,0
694,2900009J06RIK,gene,0
695,CCNT2,gene,0
696,YSK4,gene,0
697,RAB3GAP1,gene,0
698,ZRANB3,gene,0
699,R3HDM1,gene,0
700,MIR128-1,gene,0
701,UBXN4,gene,0
702,LCT,gene,0
703,MCM6,gene,0
704,DARS,gene,0
705,CXCR4,gene,0
706,THSD7B,gene,0
707,DAF2,gene,0
708,CD55,gene,1
709,ZP3R,gene,0
710,C4BP,gene,0
711,C4BP-PS1,gene,0
712,PFKFB2,gene,0
713,YOD1,gene,0
714,AA986860,gene,0
715,FCAMR,gene,0
716,PIGR,gene,0
717,FAIM3,gene,0
718,IL24,gene,0
719,IL20,gene,0
720,IL19,gene,0
721,IL10,gene,0
722,MAPKAPK2,gene,0
723,DYRK3,gene,0
724,EIF2D,gene,0
725,RASSF5,gene,0
726,IKBKE,gene,0
727,SRGAP2,gene,0
728,FAM72A,gene,0
729,AVPR1B,gene,0
730,CTSE,gene,0
731,5430435G22RIK,gene,0
732,SLC26A9,gene,0
733,PM20D1,gene,0
734,SLC41A1,gene,0
735,RAB7L1,gene,0
736,NUCKS1,gene,0
737,SLC45A3,gene,0
738,ELK4,gene,0
739,MFSD4,gene,0
740,CDK18,gene,0
741,LEMD1,gene,0
742,MIR135B,gene,0
743,KLHDC8A,gene,0
744,NUAK2,gene,0
745,TMCC2,gene,0
746,DSTYK,gene,0
747,RBBP5,gene,0
748,TMEM81,gene,0
749,CNTN2,gene,0
750,NFASC,gene,0
751,GM10538,gene,0
752,LRRN2,gene,0
753,MDM4,gene,0
754,PIK3C2B,gene,0
755,PPP1R15B,gene,0
756,PLEKHA6,gene,0
757,GM19461,gene,0
758,GOLT1A,gene,0
759,KISS1,gene,0
760,REN2,gene,0
761,REN1,gene,0
762,ETNK2,gene,0
763,SOX13,gene,0
764,SNRPE,gene,0
765,ZC3H11A,gene,0
766,ZBED6,gene,0
767,LAX1,gene,0
768,ATP2B4,gene,1
769,OPTC,gene,0
770,PRELP,gene,0
771,FMOD,gene,0
772,BTG2,gene,0
773,CHIT1,gene,0
774,CHI3L1,gene,0
775,MYBPH,gene,0
776,ADORA1,gene,0
777,MYOG,gene,0
778,PPFIA4,gene,0
779,TMEM183A,gene,0
780,4933406M09RIK,gene,0
781,CYB5R1,gene,0
782,ADIPOR1,gene,0
783,KLHL12,gene,0
784,RABIF,gene,0
785,4931440L10RIK,gene,0
786,KDM5B,gene,0
787,SYT2,gene,0
788,PPP1R12B,gene,0
789,UBE2T,gene,0
790,LGR6,gene,0
791,PTPRV,gene,0
792,PTPN7,gene,0
793,ARL8A,gene,0
794,GPR37L1,gene,0
795,ELF3,gene,0
796,RNPEP,gene,0
797,TIMM17A,gene,0
798,LMOD1,gene,0
799,SHISA4,gene,0
800,IPO9,gene,0
801,NAV1,gene,0
802,CSRP1,gene,0
803,PHLDA3,gene,0
804,TNNI1,gene,0
805,LAD1,gene,0
806,TNNT2,gene,0
807,PKP1,gene,0
808,IGFN1,gene,0
809,TMEM9,gene,0
810,CACNA1S,gene,0
811,6530439I21,gene,0
812,KIF21B,gene,0
813,5730559C18RIK,gene,0
814,GPR25,gene,0
815,CAMSAP2,gene,0
816,9230116N13RIK,gene,0
817,DDX59,gene,0
818,KIF14,gene,0
819,ZFP281,gene,0
820,GM19705,gene,0
821,GM16880,gene,0
822,NR5A2,gene,0
823,MIR181A-1,gene,0
824,MIR181B-1,gene,0
825,PTPRC,gene,0
826,ATP6V1G3,gene,0
827,NEK7,gene,0
828,GM5833,gene,0
829,LHX9,gene,0
830,2310009B15RIK,gene,0
831,DENND1B,gene,0
832,CRB1,gene,0
833,4933436E23RIK,gene,0
834,ZBTB41,gene,0
835,ASPM,gene,0
836,F13B,gene,0
837,CFHR1,gene,0
838,GM4788,gene,0
839,CFHR2,gene,0
840,CFH,gene,0
841,KCNT2,gene,0
842,4930590L20RIK,gene,0
843,CDC73,gene,0
844,B3GALT2,gene,0
845,GLRX2,gene,0
846,TROVE2,gene,0
847,UCHL5,gene,0
848,RGS2,gene,0
849,RGS13,gene,0
850,RGS1,gene,0
851,RGS18,gene,0
852,FAM5C,gene,0
853,PLA2G4A,gene,0
854,7530420F21RIK,gene,0
855,PTGS2,gene,0
856,PDC,gene,0
857,2310030A07RIK,gene,0
858,BC003331,gene,0
859,TPR,gene,0
860,PRG4,gene,0
861,HMCN1,gene,0
862,C730036E19RIK,gene,0
863,IVNS1ABP,gene,0
864,1200016B10RIK,gene,0
865,1190005F20RIK,gene,0
866,RNF2,gene,0
867,FAM129A,gene,0
868,EDEM3,gene,0
869,1700025G04RIK,gene,0
870,TSEN15,gene,0
871,GLT25D2,gene,0
872,RGL1,gene,0
873,APOBEC4,gene,0
874,ARPC5,gene,0
875,NCF2,gene,0
876,SMG7,gene,0
877,NMNAT2,gene,0
878,LAMC2,gene,0
879,LAMC1,gene,0
880,E330020D12RIK,gene,0
881,1700012A16RIK,gene,0
882,DHX9,gene,0
883,NPL,gene,0
884,RGS8,gene,1
885,C230024C17,gene,0
886,RGS16,gene,0
887,RNASEL,gene,0
888,RGSL1,gene,0
889,5830403L16RIK,gene,0
890,GM5531,gene,0
891,TEDDM1,gene,0
892,GLUL,gene,0
893,ZFP648,gene,0
894,4930452N14RIK,gene,0
895,CACNA1E,gene,0
896,IER5,gene,0
897,MR1,gene,0
898,STX6,gene,0
899,XPR1,gene,0
900,ACBD6,gene,0
901,LHX4,gene,0
902,QSOX1,gene,0
903,CEP350,gene,0
904,TOR1AIP1,gene,0
905,TOR1AIP2,gene,0
906,FAM163A,gene,0
907,TDRD5,gene,0
908,NPHS2,gene,0
909,SOAT1,gene,0
910,ABL2,gene,0
911,TOR3A,gene,0
912,FAM20B,gene,0
913,RALGPS2,gene,0
914,ANGPTL1,gene,0
915,1700057K13RIK,gene,0
916,RASAL2,gene,0
917,2810025M15RIK,gene,0
918,BC026585,gene,0
919,SEC16B,gene,0
920,FAM5B,gene,0
921,ASTN1,gene,0
922,MIR488,gene,0
923,PAPPA2,gene,0
924,RFWD2,gene,0
925,SCARNA3A,gene,0
926,MIR1843B,gene,0
927,TNR,gene,0
928,4930523C07RIK,gene,0
929,4930562F07RIK,gene,0
930,TNN,gene,0
931,MRPS14,gene,0
932,CACYBP,gene,0
933,RABGAP1L,gene,0
934,GPR52,gene,0
935,RC3H1,gene,0
936,SERPINC1,gene,0
937,ZBTB37,gene,0
938,GAS5,gene,0
939,MIR5117,gene,0
940,SNORD47,gene,0
941,DARS2,gene,0
942,CENPL,gene,0
943,KLHL20,gene,0
944,ANKRD45,gene,0
945,4930469G21RIK,gene,0
946,PRDX6,gene,0
947,TNFSF4,gene,0
948,TNFSF18,gene,0
949,FASL,gene,0
950,AI848100,gene,0
951,4930558K02RIK,gene,0
952,PIGC,gene,0
953,DNM3,gene,0
954,2810442N19RIK,gene,0
955,DNM3OS,gene,0
956,MIR199A-2,gene,0
957,MIR214,gene,0
958,METTL13,gene,0
959,VAMP4,gene,0
960,MYOC,gene,0
961,7420461P10RIK,gene,0
962,PRRC2C,gene,0
963,FMO4,gene,0
964,FMO1,gene,0
965,FMO2,gene,0
966,FMO6,gene,0
967,FMO3,gene,0
968,4921528O07RIK,gene,0
969,PRRX1,gene,0
970,GORAB,gene,0
971,METTL11B,gene,0
972,KIFAP3,gene,0
973,SCYL3,gene,0
974,BC055324,gene,0
975,2810422O20RIK,gene,0
976,SELE,gene,0
977,SELL,gene,0
978,SELP,gene,0
979,GM16548,gene,0
980,F5,gene,0
981,SLC19A2,gene,0
982,4930455F23RIK,gene,0
983,BLZF1,gene,0
984,NME7,gene,0
985,ATP1B1,gene,0
986,DPT,gene,0
987,LOC433374,gene,0
988,XCL1,gene,0
989,4930568G15RIK,gene,0
990,TBX19,gene,0
991,SFT2D2,gene,0
992,TIPRL,gene,0
993,GPR161,gene,0
994,DCAF6,gene,0
995,BRP44,gene,0
996,ADCY10,gene,0
997,MPZL1,gene,0
998,RCSD1,gene,0
999,CREG1,gene,0
1000,CD247,gene,0
1001,POU2F1,gene,0
1002,DUSP27,gene,0
1003,GPA33,gene,0
1004,MAEL,gene,0
1005,ILDR2,gene,0
1006,TADA1,gene,0
1007,POGK,gene,0
1008,GM4846,gene,0
1009,GM4847,gene,0
1010,FMO9,gene,0
1011,GM16701,gene,0
1012,FAM78B,gene,0
1013,UCK2,gene,0
1014,TMCO1,gene,0
1015,ALDH9A1,gene,0
1016,MGST3,gene,0
1017,LRRC52,gene,0
1018,RXRG,gene,0
1019,LMX1A,gene,0
1020,PBX1,gene,0
1021,NUF2,gene,0
1022,RGS5,gene,1
1023,RGS4,gene,1
1024,1700084C01RIK,gene,0
1025,HSD17B7,gene,0
1026,3110045C21RIK,gene,0
1027,DDR2,gene,0
1028,UAP1,gene,0
1029,UHMK1,gene,0
1030,SH2D1B2,gene,0
1031,SH2D1B1,gene,0
1032,GM7694,gene,0
1033,1700015E13RIK,gene,0
1034,NOS1AP,gene,0
1035,OLFML2B,gene,0
1036,ATF6,gene,0
1037,DUSP12,gene,0
1038,FCRLB,gene,0
1039,FCRLA,gene,0
1040,FCGR2B,gene,0
1041,FCGR4,gene,0
1042,FCGR3,gene,0
1043,1700009P17RIK,gene,0
1044,SDHC,gene,0
1045,MPZ,gene,0
1046,PCP4L1,gene,0
1047,NR1I3,gene,0
1048,TOMM40L,gene,0
1049,APOA2,gene,0
1050,FCER1G,gene,0
1051,NDUFS2,gene,0
1052,ADAMTS4,gene,0
