"","x"
"89","CD4 T cells"
"90","CD8 T cells"
"91","CD8 T cells"
"92","FCGR3A+ Monocytes"
"93","CD8 T cells"
"94","CD14+ Monocytes"
"95","FCGR3A+ Monocytes"
"96","CD4 T cells"
"97","CD8 T cells"
"98","CD14+ Monocytes"
"99","CD8 T cells"
"100","CD14+ Monocytes"
"101","CD14+ Monocytes"
"102","Megakaryocytes"
"103","CD8 T cells"
"104","CD8 T cells"
"105","CD8 T cells"
"106","CD8 T cells"
"107","CD14+ Monocytes"
"108","CD8 T cells"
"109","FCGR3A+ Monocytes"
"110","CD8 T cells"
"111","CD4 T cells"
"112","CD14+ Monocytes"
"113","CD4 T cells"
"114","CD8 T cells"
"115","CD8 T cells"
"116","FCGR3A+ Monocytes"
"117","B cells"
"118","B cells"
"119","CD4 T cells"
"120","CD8 T cells"
"121","CD4 T cells"
"122","CD8 T cells"
"123","CD8 T cells"
"124","CD8 T cells"
"125","FCGR3A+ Monocytes"
"126","CD4 T cells"
"127","CD8 T cells"
"128","CD4 T cells"
"129","CD8 T cells"
"130","CD14+ Monocytes"
"131","CD8 T cells"
"132","CD4 T cells"
"133","CD8 T cells"
"134","FCGR3A+ Monocytes"
"135","FCGR3A+ Monocytes"
"136","CD8 T cells"
"137","B cells"
"138","NK cells"
"139","CD14+ Monocytes"
"140","FCGR3A+ Monocytes"
"141","CD14+ Monocytes"
"142","CD14+ Monocytes"
"143","CD14+ Monocytes"
"144","CD4 T cells"
"145","CD8 T cells"
"146","CD8 T cells"
"147","CD4 T cells"
"148","B cells"
"149","CD4 T cells"
"150","NK cells"
"151","CD8 T cells"
"152","CD4 T cells"
"153","CD4 T cells"
"154","CD4 T cells"
"155","CD8 T cells"
"156","CD4 T cells"
"157","CD4 T cells"
"158","CD8 T cells"
"159","CD8 T cells"
"160","CD4 T cells"
"161","B cells"
"162","NK cells"
"163","FCGR3A+ Monocytes"
"164","B cells"
"165","CD8 T cells"
"166","CD4 T cells"
"167","FCGR3A+ Monocytes"
"168","CD8 T cells"
"169","CD8 T cells"
"170","CD4 T cells"
"171","FCGR3A+ Monocytes"
"172","CD8 T cells"
"173","CD14+ Monocytes"
"174","CD4 T cells"
"175","NK cells"
"176","CD4 T cells"
"177","B cells"
"178","FCGR3A+ Monocytes"
"179","NK cells"
"180","CD8 T cells"
"181","CD8 T cells"
"182","NK cells"
"183","CD14+ Monocytes"
"184","CD8 T cells"
"185","CD4 T cells"
"186","CD14+ Monocytes"
"187","CD8 T cells"
"188","FCGR3A+ Monocytes"
"189","B cells"
"190","CD14+ Monocytes"
"191","CD8 T cells"
"192","CD8 T cells"
"193","CD14+ Monocytes"
"194","CD14+ Monocytes"
"195","CD4 T cells"
"196","CD4 T cells"
"197","CD8 T cells"
"198","NK cells"
"199","CD8 T cells"
"200","CD8 T cells"
"201","CD8 T cells"
"202","NK cells"
"203","CD4 T cells"
"204","CD4 T cells"
"205","FCGR3A+ Monocytes"
"206","CD4 T cells"
"207","CD8 T cells"
"208","CD8 T cells"
"209","CD8 T cells"
"210","CD4 T cells"
"211","CD8 T cells"
"212","CD8 T cells"
"213","CD4 T cells"
"214","FCGR3A+ Monocytes"
"215","CD14+ Monocytes"
"216","B cells"
"217","B cells"
"218","CD8 T cells"
"219","CD4 T cells"
"220","CD8 T cells"
"221","CD8 T cells"
"222","CD8 T cells"
"223","FCGR3A+ Monocytes"
"224","FCGR3A+ Monocytes"
"225","CD8 T cells"
"226","NK cells"
"227","CD14+ Monocytes"
"228","CD8 T cells"
"229","FCGR3A+ Monocytes"
"230","CD14+ Monocytes"
"231","CD8 T cells"
"232","CD8 T cells"
"233","CD14+ Monocytes"
"234","CD4 T cells"
"235","CD8 T cells"
"236","B cells"
"237","CD14+ Monocytes"
"238","CD8 T cells"
"239","CD14+ Monocytes"
"240","CD14+ Monocytes"
"241","CD4 T cells"
"242","CD14+ Monocytes"
"243","CD4 T cells"
"244","CD8 T cells"
"245","FCGR3A+ Monocytes"
"246","NK cells"
"247","CD8 T cells"
"248","NK cells"
"249","CD8 T cells"
"250","CD4 T cells"
"251","CD8 T cells"
"252","CD4 T cells"
"253","CD8 T cells"
"254","CD4 T cells"
"255","FCGR3A+ Monocytes"
"256","CD14+ Monocytes"
"257","CD8 T cells"
"258","CD14+ Monocytes"
"259","CD4 T cells"
"260","CD4 T cells"
"261","FCGR3A+ Monocytes"
"262","NK cells"
"263","CD14+ Monocytes"
"264","CD4 T cells"
"265","CD8 T cells"
"266","CD8 T cells"
"267","FCGR3A+ Monocytes"
"268","FCGR3A+ Monocytes"
"269","CD4 T cells"
"270","B cells"
"271","CD14+ Monocytes"
"272","CD8 T cells"
"273","CD8 T cells"
"274","CD8 T cells"
"275","CD8 T cells"
"276","FCGR3A+ Monocytes"
"277","CD8 T cells"
"278","NK cells"
"279","CD8 T cells"
"280","CD14+ Monocytes"
"281","CD14+ Monocytes"
"282","CD4 T cells"
"283","CD14+ Monocytes"
"284","CD8 T cells"
"285","FCGR3A+ Monocytes"
"286","CD8 T cells"
"287","CD8 T cells"
"288","CD4 T cells"
"289","CD14+ Monocytes"
"290","CD14+ Monocytes"
"291","FCGR3A+ Monocytes"
"292","CD8 T cells"
"293","CD4 T cells"
"294","CD4 T cells"
"295","CD8 T cells"
"296","FCGR3A+ Monocytes"
"297","CD4 T cells"
"298","CD14+ Monocytes"
"299","CD8 T cells"
"300","CD8 T cells"
"301","CD14+ Monocytes"
"302","CD8 T cells"
"303","CD4 T cells"
"304","CD14+ Monocytes"
"305","NK cells"
"306","CD8 T cells"
"307","CD8 T cells"
"308","FCGR3A+ Monocytes"
"309","CD8 T cells"
"310","CD4 T cells"
"311","CD8 T cells"
"312","NK cells"
"313","FCGR3A+ Monocytes"
"314","CD4 T cells"
"315","CD8 T cells"
"316","CD8 T cells"
"317","CD14+ Monocytes"
"318","CD8 T cells"
"319","CD8 T cells"
"320","CD14+ Monocytes"
"321","CD14+ Monocytes"
"322","CD4 T cells"
"323","CD8 T cells"
"324","NK cells"
"325","CD14+ Monocytes"
"326","CD8 T cells"
"327","CD8 T cells"
"328","CD4 T cells"
"329","CD8 T cells"
"330","NK cells"
"331","FCGR3A+ Monocytes"
"332","FCGR3A+ Monocytes"
"333","CD14+ Monocytes"
"334","FCGR3A+ Monocytes"
"335","NK cells"
"336","CD14+ Monocytes"
"337","CD8 T cells"
"338","CD8 T cells"
"339","CD8 T cells"
"340","CD4 T cells"
"341","NK cells"
"342","CD4 T cells"
"343","CD8 T cells"
"344","CD8 T cells"
"345","CD4 T cells"
"346","CD4 T cells"
"347","CD4 T cells"
"348","CD14+ Monocytes"
"349","CD4 T cells"
"350","NK cells"
"351","CD4 T cells"
"352","CD8 T cells"
"353","CD8 T cells"
"354","CD14+ Monocytes"
"355","CD14+ Monocytes"
"356","CD8 T cells"
"357","CD8 T cells"
"358","CD8 T cells"
"359","CD8 T cells"
"360","CD8 T cells"
"361","CD8 T cells"
"362","CD4 T cells"
"363","CD8 T cells"
"364","FCGR3A+ Monocytes"
"365","CD8 T cells"
"366","CD14+ Monocytes"
"367","CD8 T cells"
"368","CD8 T cells"
"369","CD4 T cells"
"370","FCGR3A+ Monocytes"
"371","CD14+ Monocytes"
"372","CD14+ Monocytes"
"373","CD4 T cells"
"374","CD4 T cells"
"375","B cells"
"376","CD4 T cells"
"377","CD4 T cells"
"378","CD8 T cells"
"379","CD14+ Monocytes"
"380","CD8 T cells"
"381","CD4 T cells"
"382","CD4 T cells"
"383","CD8 T cells"
"384","CD8 T cells"
"385","FCGR3A+ Monocytes"
"386","CD4 T cells"
"387","CD8 T cells"
"388","B cells"
"389","CD8 T cells"
"390","CD14+ Monocytes"
"391","CD14+ Monocytes"
"392","CD4 T cells"
"393","CD4 T cells"
"394","CD8 T cells"
"395","CD4 T cells"
"396","CD14+ Monocytes"
"397","CD4 T cells"
"398","FCGR3A+ Monocytes"
"399","Megakaryocytes"
"400","CD4 T cells"
"401","CD8 T cells"
"402","CD14+ Monocytes"
"403","CD14+ Monocytes"
"404","CD8 T cells"
"405","NK cells"
"406","CD8 T cells"
"407","CD4 T cells"
"408","CD14+ Monocytes"
"409","FCGR3A+ Monocytes"
"410","CD14+ Monocytes"
"411","CD14+ Monocytes"
"412","CD14+ Monocytes"
"413","CD8 T cells"
"414","CD14+ Monocytes"
"415","CD8 T cells"
"416","NK cells"
"417","CD4 T cells"
"418","CD8 T cells"
"419","CD8 T cells"
"420","CD4 T cells"
"421","CD8 T cells"
"422","CD4 T cells"
"423","CD14+ Monocytes"
"424","CD4 T cells"
"425","CD8 T cells"
"426","CD14+ Monocytes"
"427","CD14+ Monocytes"
"428","CD14+ Monocytes"
"429","CD4 T cells"
"430","CD4 T cells"
"431","CD14+ Monocytes"
"432","CD4 T cells"
"433","CD8 T cells"
"434","CD8 T cells"
"435","CD14+ Monocytes"
"436","FCGR3A+ Monocytes"
"437","CD8 T cells"
"438","CD8 T cells"
"439","CD4 T cells"
"440","FCGR3A+ Monocytes"
"441","CD14+ Monocytes"
"442","CD8 T cells"
"443","CD14+ Monocytes"
"444","CD14+ Monocytes"
"445","CD8 T cells"
"446","CD8 T cells"
"447","CD8 T cells"
"448","CD8 T cells"
"449","CD14+ Monocytes"
"450","NK cells"
"451","CD8 T cells"
"452","FCGR3A+ Monocytes"
"453","CD8 T cells"
"454","CD8 T cells"
"455","CD14+ Monocytes"
"456","CD4 T cells"
"457","Dendritic cells"
"458","CD4 T cells"
"459","CD4 T cells"
"460","CD8 T cells"
"461","CD8 T cells"
"462","CD8 T cells"
"463","B cells"
"464","B cells"
"465","CD4 T cells"
"466","CD14+ Monocytes"
"467","CD14+ Monocytes"
"468","FCGR3A+ Monocytes"
"469","CD8 T cells"
"470","CD8 T cells"
"471","CD8 T cells"
"472","B cells"
"473","CD8 T cells"
"474","CD8 T cells"
"475","CD8 T cells"
"476","CD8 T cells"
"477","CD14+ Monocytes"
"478","CD8 T cells"
"479","CD8 T cells"
"480","B cells"
"481","CD14+ Monocytes"
"482","CD4 T cells"
"483","CD4 T cells"
"484","CD4 T cells"
"485","CD14+ Monocytes"
"486","CD14+ Monocytes"
"487","CD14+ Monocytes"
"488","NK cells"
"489","CD14+ Monocytes"
"490","CD8 T cells"
"491","FCGR3A+ Monocytes"
"492","CD4 T cells"
"493","CD4 T cells"
"494","B cells"
"495","CD8 T cells"
"496","CD4 T cells"
"497","FCGR3A+ Monocytes"
"498","CD4 T cells"
"499","B cells"
"500","CD14+ Monocytes"
"501","CD8 T cells"
"502","CD4 T cells"
"503","NK cells"
"504","B cells"
"505","CD8 T cells"
"506","CD14+ Monocytes"
"507","CD14+ Monocytes"
"508","CD4 T cells"
"509","CD8 T cells"
"510","CD4 T cells"
"511","CD14+ Monocytes"
"512","CD8 T cells"
"513","CD8 T cells"
"514","NK cells"
"515","FCGR3A+ Monocytes"
"516","CD4 T cells"
"517","CD14+ Monocytes"
"518","CD14+ Monocytes"
"519","CD8 T cells"
"520","CD14+ Monocytes"
"521","CD14+ Monocytes"
"522","CD8 T cells"
"523","CD8 T cells"
"524","NK cells"
"525","CD14+ Monocytes"
"526","CD14+ Monocytes"
"527","CD14+ Monocytes"
"528","CD8 T cells"
"529","CD4 T cells"
"530","CD8 T cells"
"531","CD14+ Monocytes"
"532","B cells"
"533","CD8 T cells"
"534","CD14+ Monocytes"
"535","CD4 T cells"
"536","CD8 T cells"
"537","CD4 T cells"
"538","NK cells"
"539","CD14+ Monocytes"
"540","CD8 T cells"
"541","CD14+ Monocytes"
"542","NK cells"
"543","CD4 T cells"
"544","FCGR3A+ Monocytes"
"545","CD8 T cells"
"546","CD14+ Monocytes"
"547","CD4 T cells"
"548","CD8 T cells"
"549","CD14+ Monocytes"
"550","CD8 T cells"
"551","Megakaryocytes"
"552","CD8 T cells"
"553","CD4 T cells"
"554","CD4 T cells"
"555","CD4 T cells"
"556","CD4 T cells"
"557","CD4 T cells"
"558","CD14+ Monocytes"
"559","CD4 T cells"
"560","CD4 T cells"
"561","CD14+ Monocytes"
"562","CD8 T cells"
"563","B cells"
"564","Megakaryocytes"
"565","CD8 T cells"
"566","CD14+ Monocytes"
"567","CD14+ Monocytes"
"568","CD4 T cells"
"569","CD4 T cells"
"570","CD8 T cells"
"571","B cells"
"572","CD8 T cells"
"573","CD8 T cells"
"574","CD8 T cells"
"575","CD8 T cells"
"576","CD14+ Monocytes"
"577","Dendritic cells"
"578","NK cells"
"579","CD8 T cells"
"580","CD14+ Monocytes"
"581","CD8 T cells"
"582","CD8 T cells"
"583","CD8 T cells"
"584","CD14+ Monocytes"
"585","CD8 T cells"
"586","CD8 T cells"
"587","CD4 T cells"
"588","CD8 T cells"
"589","CD8 T cells"
"590","B cells"
"591","CD14+ Monocytes"
"592","CD8 T cells"
"593","FCGR3A+ Monocytes"
"594","CD8 T cells"
"595","CD8 T cells"
"596","CD8 T cells"
"597","NK cells"
"598","CD4 T cells"
"599","CD14+ Monocytes"
"600","CD14+ Monocytes"
"601","CD14+ Monocytes"
"602","CD8 T cells"
"603","CD8 T cells"
"604","B cells"
"605","CD8 T cells"
"606","CD8 T cells"
"607","CD8 T cells"
"608","CD8 T cells"
"609","CD4 T cells"
"610","CD14+ Monocytes"
"611","CD4 T cells"
"612","CD14+ Monocytes"
"613","CD8 T cells"
"614","CD4 T cells"
"615","B cells"
"616","CD4 T cells"
"617","CD14+ Monocytes"
"618","NK cells"
"619","CD8 T cells"
"620","CD8 T cells"
"621","CD14+ Monocytes"
"622","CD14+ Monocytes"
"623","NK cells"
"624","FCGR3A+ Monocytes"
"625","CD8 T cells"
"626","CD4 T cells"
"627","CD4 T cells"
"628","B cells"
"629","CD14+ Monocytes"
"630","FCGR3A+ Monocytes"
"631","CD8 T cells"
"632","CD8 T cells"
"633","NK cells"
"634","CD4 T cells"
"635","CD4 T cells"
"636","CD4 T cells"
"637","NK cells"
"638","CD8 T cells"
"639","CD8 T cells"
"640","CD8 T cells"
"641","CD4 T cells"
"642","CD8 T cells"
"643","CD4 T cells"
"644","CD8 T cells"
"645","CD4 T cells"
"646","CD14+ Monocytes"
"647","CD14+ Monocytes"
"648","B cells"
"649","CD14+ Monocytes"
"650","CD8 T cells"
"651","CD8 T cells"
"652","CD4 T cells"
"653","NK cells"
"654","CD4 T cells"
"655","CD4 T cells"
"656","CD14+ Monocytes"
"657","CD8 T cells"
"658","CD14+ Monocytes"
"659","B cells"
"660","B cells"
"661","CD8 T cells"
"662","CD4 T cells"
"663","FCGR3A+ Monocytes"
"664","FCGR3A+ Monocytes"
"665","NK cells"
"666","CD4 T cells"
"667","CD14+ Monocytes"
"668","CD8 T cells"
"669","CD8 T cells"
"670","CD8 T cells"
"671","CD4 T cells"
"672","CD4 T cells"
"673","B cells"
"674","CD14+ Monocytes"
"675","CD4 T cells"
"676","CD8 T cells"
"677","CD8 T cells"
"678","CD4 T cells"
"679","CD4 T cells"
"680","Dendritic cells"
"681","CD14+ Monocytes"
"682","CD14+ Monocytes"
"683","CD14+ Monocytes"
"684","CD4 T cells"
"685","Dendritic cells"
"686","CD8 T cells"
"687","FCGR3A+ Monocytes"
"688","CD4 T cells"
"689","CD8 T cells"
"690","CD8 T cells"
"691","CD4 T cells"
"692","CD8 T cells"
"693","CD4 T cells"
"694","CD14+ Monocytes"
"695","CD8 T cells"
"696","FCGR3A+ Monocytes"
"697","CD4 T cells"
"698","CD4 T cells"
"699","CD8 T cells"
"700","CD14+ Monocytes"
"701","CD8 T cells"
"702","B cells"
"703","CD8 T cells"
"704","CD14+ Monocytes"
"705","CD8 T cells"
"706","NK cells"
"707","FCGR3A+ Monocytes"
"708","CD8 T cells"
"709","Dendritic cells"
"710","B cells"
"711","CD4 T cells"
"712","CD4 T cells"
"713","CD8 T cells"
"714","CD8 T cells"
"715","CD8 T cells"
"716","CD4 T cells"
"717","CD8 T cells"
"718","CD4 T cells"
"719","FCGR3A+ Monocytes"
"720","FCGR3A+ Monocytes"
"721","CD8 T cells"
"722","CD14+ Monocytes"
"723","CD4 T cells"
"724","FCGR3A+ Monocytes"
"725","NK cells"
"726","CD14+ Monocytes"
"727","CD8 T cells"
"728","NK cells"
"729","NK cells"
"730","CD8 T cells"
"731","CD8 T cells"
"732","CD4 T cells"
"733","CD14+ Monocytes"
"734","CD8 T cells"
"735","Megakaryocytes"
"736","CD4 T cells"
"737","CD4 T cells"
"738","CD8 T cells"
"739","CD4 T cells"
"740","CD14+ Monocytes"
"741","CD8 T cells"
"742","CD8 T cells"
"743","CD8 T cells"
"744","CD8 T cells"
"745","CD4 T cells"
"746","Dendritic cells"
"747","CD4 T cells"
"748","CD4 T cells"
"749","B cells"
"750","CD8 T cells"
"751","CD4 T cells"
"752","CD4 T cells"
"753","CD4 T cells"
"754","FCGR3A+ Monocytes"
"755","CD14+ Monocytes"
"756","CD4 T cells"
"757","CD4 T cells"
"758","CD8 T cells"
"759","CD8 T cells"
"760","NK cells"
"761","CD4 T cells"
"762","CD8 T cells"
"763","CD8 T cells"
"764","CD8 T cells"
"765","CD8 T cells"
"766","CD14+ Monocytes"
"767","CD4 T cells"
"768","CD8 T cells"
"769","CD4 T cells"
"770","CD14+ Monocytes"
"771","CD8 T cells"
"772","B cells"
"773","CD8 T cells"
"774","Megakaryocytes"
"775","CD14+ Monocytes"
"776","CD14+ Monocytes"
"777","CD8 T cells"
"778","FCGR3A+ Monocytes"
"779","CD4 T cells"
"780","FCGR3A+ Monocytes"
"781","CD14+ Monocytes"
"782","B cells"
"783","CD8 T cells"
"784","CD14+ Monocytes"
"785","CD8 T cells"
"786","B cells"
"787","Dendritic cells"
"788","NK cells"
"789","CD14+ Monocytes"
"790","CD4 T cells"
"791","CD4 T cells"
"792","CD8 T cells"
"793","CD4 T cells"
"794","CD4 T cells"
"795","CD14+ Monocytes"
"796","NK cells"
"797","CD4 T cells"
"798","NK cells"
"799","B cells"
"800","CD4 T cells"
"801","CD8 T cells"
"802","B cells"
"803","CD8 T cells"
"804","CD14+ Monocytes"
"805","CD4 T cells"
"806","CD8 T cells"
"807","CD4 T cells"
"808","B cells"
"809","CD4 T cells"
"810","CD14+ Monocytes"
"811","CD4 T cells"
"812","CD14+ Monocytes"
"813","NK cells"
"814","CD8 T cells"
"815","B cells"
"816","CD14+ Monocytes"
"817","CD14+ Monocytes"
"818","CD4 T cells"
"819","CD4 T cells"
"820","NK cells"
"821","CD8 T cells"
"822","CD14+ Monocytes"
"823","NK cells"
"824","B cells"
"825","CD14+ Monocytes"
"826","CD14+ Monocytes"
"827","CD4 T cells"
"828","NK cells"
"829","CD8 T cells"
"830","CD14+ Monocytes"
"831","CD8 T cells"
"832","CD14+ Monocytes"
"833","CD4 T cells"
"834","NK cells"
"835","CD4 T cells"
"836","B cells"
"837","CD4 T cells"
"838","CD14+ Monocytes"
"839","CD8 T cells"
"840","B cells"
"841","CD4 T cells"
"842","CD8 T cells"
"843","CD4 T cells"
"844","CD14+ Monocytes"
"845","CD14+ Monocytes"
"846","CD8 T cells"
"847","CD8 T cells"
"848","NK cells"
"849","CD4 T cells"
"850","CD4 T cells"
"851","CD4 T cells"
"852","B cells"
"853","B cells"
"854","CD4 T cells"
"855","CD14+ Monocytes"
"856","CD4 T cells"
"857","CD8 T cells"
"858","CD14+ Monocytes"
"859","CD4 T cells"
"860","CD4 T cells"
"861","CD14+ Monocytes"
"862","B cells"
"863","CD4 T cells"
"864","NK cells"
"865","CD14+ Monocytes"
"866","CD4 T cells"
"867","FCGR3A+ Monocytes"
"868","CD4 T cells"
"869","CD4 T cells"
"870","CD14+ Monocytes"
"871","CD8 T cells"
"872","NK cells"
"873","CD14+ Monocytes"
"874","FCGR3A+ Monocytes"
"875","CD14+ Monocytes"
"876","FCGR3A+ Monocytes"
"877","CD14+ Monocytes"
"878","CD8 T cells"
"879","CD4 T cells"
"880","CD14+ Monocytes"
"881","CD4 T cells"
"882","CD8 T cells"
"883","CD14+ Monocytes"
"884","CD4 T cells"
"885","CD8 T cells"
"886","CD4 T cells"
"887","CD14+ Monocytes"
"888","CD4 T cells"
"889","CD14+ Monocytes"
"890","FCGR3A+ Monocytes"
"891","B cells"
"892","CD4 T cells"
"893","CD14+ Monocytes"
"894","NK cells"
"895","CD8 T cells"
"896","CD8 T cells"
"897","NK cells"
"898","B cells"
"899","CD8 T cells"
"900","CD4 T cells"
"901","B cells"
"902","CD14+ Monocytes"
"903","CD8 T cells"
"904","CD14+ Monocytes"
"905","FCGR3A+ Monocytes"
"906","CD14+ Monocytes"
"907","CD8 T cells"
"908","CD8 T cells"
"909","CD14+ Monocytes"
"910","CD4 T cells"
"911","CD8 T cells"
"912","CD14+ Monocytes"
"913","FCGR3A+ Monocytes"
"914","CD8 T cells"
"915","CD8 T cells"
"916","CD8 T cells"
"917","CD8 T cells"
"918","NK cells"
"919","CD14+ Monocytes"
"920","CD8 T cells"
"921","CD4 T cells"
"922","CD14+ Monocytes"
"923","FCGR3A+ Monocytes"
"924","CD4 T cells"
"925","CD8 T cells"
"926","CD8 T cells"
"927","CD8 T cells"
"928","CD8 T cells"
"929","CD14+ Monocytes"
"930","CD4 T cells"
"931","CD4 T cells"
"932","CD14+ Monocytes"
"933","CD8 T cells"
"934","CD14+ Monocytes"
"935","CD14+ Monocytes"
"936","CD4 T cells"
"937","CD4 T cells"
"938","CD8 T cells"
"939","CD4 T cells"
"940","CD14+ Monocytes"
"941","CD8 T cells"
"942","CD8 T cells"
"943","CD8 T cells"
"944","CD14+ Monocytes"
"945","CD4 T cells"
"946","CD8 T cells"
"947","NK cells"
"948","CD8 T cells"
"949","CD14+ Monocytes"
"950","CD8 T cells"
"951","CD14+ Monocytes"
"952","NK cells"
"953","CD4 T cells"
"954","CD4 T cells"
"955","CD8 T cells"
"956","CD14+ Monocytes"
"957","CD14+ Monocytes"
"958","CD14+ Monocytes"
"959","FCGR3A+ Monocytes"
"960","CD4 T cells"
"961","CD4 T cells"
"962","FCGR3A+ Monocytes"
"963","CD8 T cells"
"964","NK cells"
"965","CD14+ Monocytes"
"966","CD8 T cells"
"967","CD4 T cells"
"968","FCGR3A+ Monocytes"
"969","CD8 T cells"
"970","CD4 T cells"
"971","CD4 T cells"
"972","CD14+ Monocytes"
"973","CD4 T cells"
"974","CD8 T cells"
"975","CD8 T cells"
"976","CD4 T cells"
"977","CD14+ Monocytes"
"978","CD4 T cells"
"979","CD8 T cells"
"980","CD4 T cells"
"981","CD14+ Monocytes"
"982","CD8 T cells"
"983","CD8 T cells"
"984","CD14+ Monocytes"
"985","NK cells"
"986","CD14+ Monocytes"
"987","CD4 T cells"
"988","CD14+ Monocytes"
"989","NK cells"
"990","CD8 T cells"
"991","CD4 T cells"
"992","CD4 T cells"
"993","CD4 T cells"
"994","B cells"
"995","NK cells"
"996","CD14+ Monocytes"
"997","B cells"
"998","CD14+ Monocytes"
"999","CD4 T cells"
"1000","CD14+ Monocytes"
"1001","CD4 T cells"
"1002","CD4 T cells"
"1003","CD4 T cells"
"1004","B cells"
"1005","CD4 T cells"
"1006","CD8 T cells"
"1007","CD14+ Monocytes"
"1008","CD8 T cells"
"1009","NK cells"
"1010","FCGR3A+ Monocytes"
"1011","CD4 T cells"
"1012","CD4 T cells"
"1013","CD14+ Monocytes"
"1014","CD4 T cells"
"1015","CD14+ Monocytes"
"1016","CD4 T cells"
"1017","CD8 T cells"
"1018","FCGR3A+ Monocytes"
"1019","B cells"
"1020","NK cells"
"1021","CD4 T cells"
"1022","CD4 T cells"
"1023","NK cells"
"1024","FCGR3A+ Monocytes"
"1025","CD14+ Monocytes"
"1026","CD8 T cells"
"1027","CD14+ Monocytes"
"1028","CD4 T cells"
"1029","CD8 T cells"
"1030","NK cells"
"1031","CD4 T cells"
"1032","CD8 T cells"
"1033","CD4 T cells"
"1034","CD4 T cells"
"1035","CD14+ Monocytes"
"1036","FCGR3A+ Monocytes"
"1037","CD14+ Monocytes"
"1038","CD8 T cells"
"1039","CD8 T cells"
"1040","CD4 T cells"
"1041","NK cells"
"1042","CD8 T cells"
"1043","CD14+ Monocytes"
"1044","NK cells"
"1045","CD8 T cells"
"1046","CD14+ Monocytes"
"1047","CD4 T cells"
"1048","CD14+ Monocytes"
"1049","CD8 T cells"
"1050","FCGR3A+ Monocytes"
"1051","CD8 T cells"
"1052","FCGR3A+ Monocytes"
"1053","FCGR3A+ Monocytes"
"1054","CD14+ Monocytes"
"1055","CD14+ Monocytes"
"1056","CD8 T cells"
"1057","CD8 T cells"
"1058","CD14+ Monocytes"
"1059","CD4 T cells"
"1060","CD8 T cells"
"1061","CD14+ Monocytes"
"1062","B cells"
"1063","CD4 T cells"
"1064","CD4 T cells"
"1065","NK cells"
"1066","CD4 T cells"
"1067","B cells"
"1068","NK cells"
"1069","NK cells"
"1070","NK cells"
"1071","CD8 T cells"
"1072","CD14+ Monocytes"
"1073","FCGR3A+ Monocytes"
"1074","CD4 T cells"
"1075","CD14+ Monocytes"
"1076","CD8 T cells"
"1077","CD4 T cells"
"1078","CD4 T cells"
"1079","CD4 T cells"
"1080","CD4 T cells"
"1081","B cells"
"1082","CD8 T cells"
"1083","CD14+ Monocytes"
"1084","CD4 T cells"
"1085","CD4 T cells"
"1086","CD8 T cells"
"1087","B cells"
"1088","CD4 T cells"
"1089","FCGR3A+ Monocytes"
"1090","FCGR3A+ Monocytes"
"1091","CD14+ Monocytes"
"1092","B cells"
"1093","FCGR3A+ Monocytes"
"1094","CD14+ Monocytes"
"1095","CD4 T cells"
"1096","FCGR3A+ Monocytes"
"1097","CD4 T cells"
"1098","CD14+ Monocytes"
