,x
575,alpha
576,alpha
577,alpha
578,alpha
579,alpha
580,alpha
581,alpha
582,alpha
583,alpha
584,alpha
585,delta
586,delta
587,delta
588,delta
589,delta
590,delta
591,delta
592,delta
593,delta
594,delta
595,delta
596,delta
597,delta
598,delta
599,delta
600,delta
601,delta
602,delta
603,delta
604,delta
605,delta
606,delta
607,delta
608,delta
609,delta
610,delta
611,delta
612,delta
613,gamma
614,gamma
615,gamma
616,gamma
617,gamma
618,gamma
619,gamma
620,gamma
621,gamma
622,gamma
623,gamma
624,gamma
625,gamma
626,gamma
627,gamma
628,gamma
629,gamma
630,gamma
631,gamma
632,gamma
633,gamma
634,gamma
635,gamma
636,gamma
637,gamma
638,gamma
639,gamma
640,gamma
641,gamma
642,gamma
643,gamma
644,gamma
645,gamma
646,gamma
647,gamma
648,gamma
649,gamma
650,gamma
651,gamma
652,beta
653,beta
654,beta
655,beta
656,beta
657,beta
658,beta
659,beta
660,beta
661,beta
662,beta
663,beta
664,beta
665,beta
666,beta
667,beta
668,beta
669,beta
670,beta
671,beta
672,beta
673,beta
674,beta
675,beta
676,beta
677,beta
678,beta
679,beta
680,beta
681,beta
682,beta
683,beta
684,beta
685,beta
686,beta
687,beta
688,beta
689,beta
690,beta
691,beta
692,beta
693,beta
694,beta
695,beta
696,beta
697,beta
698,beta
699,beta
700,beta
701,beta
702,beta
703,beta
704,beta
705,beta
706,beta
707,beta
708,beta
709,beta
710,beta
711,beta
712,beta
713,beta
714,beta
715,beta
716,beta
717,beta
718,beta
719,beta
720,beta
721,beta
722,beta
723,beta
724,beta
725,beta
726,beta
727,beta
728,beta
729,beta
730,beta
731,beta
732,beta
733,beta
734,beta
735,beta
736,beta
737,beta
738,beta
739,beta
740,beta
741,beta
742,beta
743,beta
744,beta
745,beta
746,beta
747,beta
748,beta
749,beta
750,beta
751,beta
752,beta
753,beta
754,beta
755,beta
756,beta
757,beta
758,beta
759,beta
760,beta
761,beta
762,beta
763,beta
764,beta
765,beta
766,beta
767,beta
768,beta
769,beta
770,beta
771,beta
772,beta
773,beta
774,beta
775,beta
776,beta
777,beta
778,beta
779,beta
780,beta
781,beta
782,beta
783,beta
784,beta
785,beta
786,beta
787,beta
788,beta
789,beta
790,beta
791,beta
792,beta
793,beta
794,beta
795,beta
796,beta
797,beta
798,beta
799,beta
800,beta
801,beta
802,beta
803,beta
804,beta
805,beta
806,beta
807,beta
808,beta
809,beta
810,beta
811,beta
812,beta
813,beta
814,beta
815,beta
816,beta
817,beta
818,beta
819,beta
820,beta
821,beta
822,beta
823,beta
824,beta
825,beta
826,beta
827,beta
828,beta
829,beta
830,beta
831,beta
832,beta
833,beta
834,beta
835,beta
836,beta
837,beta
838,beta
839,beta
840,beta
841,beta
842,beta
843,beta
844,beta
845,beta
846,beta
847,beta
848,beta
849,beta
850,beta
851,beta
852,beta
853,beta
854,beta
855,beta
856,beta
857,beta
858,beta
859,beta
860,beta
861,beta
862,beta
863,beta
864,beta
865,beta
866,beta
867,beta
868,beta
869,beta
870,beta
871,beta
872,beta
873,beta
874,beta
875,beta
876,beta
877,beta
878,beta
879,beta
880,beta
881,beta
882,beta
883,beta
884,beta
885,beta
886,beta
887,beta
888,beta
889,beta
890,beta
891,beta
892,beta
893,beta
894,beta
895,beta
896,beta
897,beta
898,beta
899,beta
900,beta
901,beta
902,beta
903,beta
904,beta
905,beta
906,beta
907,beta
908,beta
909,beta
910,beta
911,beta
912,beta
913,beta
914,beta
915,beta
916,beta
917,beta
918,beta
919,beta
920,beta
921,beta
922,beta
923,beta
924,beta
925,beta
926,beta
927,beta
928,beta
929,beta
930,beta
931,beta
932,beta
933,beta
934,beta
935,beta
936,beta
937,beta
938,beta
939,beta
940,beta
941,beta
942,beta
943,beta
944,beta
945,beta
946,beta
947,beta
948,alpha
949,alpha
950,alpha
951,alpha
952,alpha
953,alpha
954,alpha
955,alpha
956,alpha
957,alpha
958,alpha
959,alpha
960,alpha
961,alpha
962,alpha
963,alpha
964,alpha
965,alpha
966,alpha
967,alpha
968,alpha
969,alpha
970,alpha
971,alpha
972,alpha
973,alpha
974,alpha
975,alpha
976,alpha
977,alpha
978,alpha
979,alpha
980,alpha
981,alpha
982,alpha
983,alpha
984,alpha
985,alpha
986,alpha
987,alpha
988,alpha
989,alpha
990,alpha
991,alpha
992,alpha
993,alpha
994,alpha
995,alpha
996,alpha
997,alpha
998,alpha
999,alpha
1000,alpha
1001,alpha
1002,alpha
1003,alpha
1004,alpha
1005,alpha
1006,alpha
1007,alpha
1008,alpha
1009,alpha
1010,alpha
1011,alpha
1012,alpha
1013,alpha
1014,alpha
1015,alpha
1016,alpha
1017,alpha
1018,alpha
1019,alpha
1020,alpha
1021,alpha
1022,alpha
1023,alpha
1024,alpha
1025,alpha
1026,alpha
1027,alpha
1028,alpha
1029,alpha
1030,alpha
1031,alpha
1032,alpha
1033,alpha
1034,alpha
1035,alpha
1036,alpha
1037,alpha
1038,alpha
1039,alpha
1040,alpha
1041,alpha
1042,alpha
1043,alpha
1044,alpha
1045,alpha
1046,alpha
1047,alpha
1048,alpha
1049,alpha
1050,alpha
1051,alpha
1052,alpha
1053,alpha
1054,alpha
1055,alpha
1056,alpha
1057,alpha
1058,alpha
1059,alpha
1060,alpha
1061,alpha
1062,alpha
1063,alpha
1064,alpha
1065,alpha
1066,alpha
1067,alpha
1068,alpha
1069,alpha
1070,alpha
1071,alpha
1072,alpha
1073,alpha
1074,alpha
1075,alpha
1076,alpha
1077,alpha
1078,alpha
1079,alpha
1080,alpha
1081,alpha
1082,alpha
1083,alpha
1084,alpha
1085,alpha
1086,alpha
1087,alpha
1088,alpha
1089,alpha
1090,alpha
1091,alpha
1092,alpha
1093,alpha
1094,alpha
1095,alpha
1096,alpha
1097,alpha
1098,alpha
1099,alpha
1100,alpha
1101,alpha
1102,alpha
1103,alpha
1104,alpha
1105,alpha
1106,alpha
1107,alpha
1108,alpha
1109,alpha
1110,alpha
1111,alpha
1112,alpha
1113,alpha
1114,alpha
1115,alpha
1116,alpha
1117,alpha
1118,alpha
1119,alpha
1120,alpha
1121,alpha
1122,alpha
1123,alpha
1124,alpha
1125,alpha
1126,alpha
1127,alpha
1128,alpha
1129,alpha
1130,alpha
1131,alpha
1132,alpha
1133,alpha
1134,alpha
1135,alpha
1136,alpha
1137,alpha
1138,alpha
1139,alpha
1140,alpha
1141,alpha
1142,alpha
1143,alpha
1144,alpha
1145,alpha
1146,alpha
1147,alpha
1148,alpha
1149,alpha
1150,alpha
1151,alpha
1152,alpha
1153,alpha
1154,alpha
1155,alpha
1156,alpha
1157,alpha
1158,alpha
1159,alpha
1160,alpha
1161,alpha
1162,alpha
1163,alpha
1164,alpha
1165,alpha
1166,alpha
1167,alpha
1168,alpha
1169,alpha
1170,alpha
1171,alpha
1172,alpha
1173,alpha
1174,alpha
1175,alpha
1176,alpha
1177,alpha
1178,alpha
1179,alpha
1180,alpha
1181,alpha
1182,alpha
1183,alpha
1184,alpha
1185,alpha
1186,alpha
1187,alpha
1188,alpha
1189,alpha
1190,alpha
1191,alpha
1192,alpha
1193,alpha
1194,alpha
1195,alpha
1196,alpha
1197,alpha
1198,alpha
1199,alpha
1200,alpha
1201,alpha
1202,alpha
1203,alpha
1204,alpha
1205,alpha
1206,alpha
1207,alpha
1208,alpha
1209,alpha
1210,alpha
1211,alpha
1212,alpha
1213,alpha
1214,alpha
1215,alpha
1216,alpha
1217,alpha
1218,alpha
1219,alpha
1220,alpha
1221,alpha
1222,alpha
1223,alpha
1224,alpha
1225,alpha
1226,alpha
1227,alpha
1228,alpha
1229,alpha
1230,alpha
1231,alpha
1232,alpha
1233,alpha
1234,alpha
1235,alpha
1236,alpha
1237,alpha
1238,alpha
1239,alpha
1240,alpha
1241,alpha
1242,alpha
1243,alpha
1244,alpha
1245,alpha
1246,alpha
1247,alpha
1248,alpha
1249,alpha
1250,alpha
1251,alpha
1252,alpha
1253,alpha
1254,alpha
1255,alpha
1256,alpha
1257,alpha
1258,alpha
1259,alpha
1260,alpha
1261,alpha
1262,alpha
1263,alpha
1264,alpha
1265,alpha
1266,alpha
1267,alpha
1268,alpha
1269,alpha
1270,alpha
1271,alpha
1272,alpha
1273,alpha
1274,alpha
1275,alpha
1276,alpha
1277,alpha
1278,alpha
1279,alpha
1280,alpha
1281,alpha
1282,alpha
1283,alpha
1284,alpha
1285,alpha
1286,alpha
1287,alpha
1288,alpha
1289,alpha
1290,alpha
1291,alpha
1292,alpha
1293,alpha
1294,alpha
1295,alpha
1296,alpha
1297,alpha
1298,alpha
1299,alpha
1300,alpha
1301,alpha
1302,alpha
1303,alpha
1304,alpha
1305,alpha
1306,alpha
1307,alpha
1308,alpha
1309,alpha
1310,alpha
1311,alpha
1312,alpha
1313,alpha
1314,alpha
1315,alpha
1316,alpha
1317,alpha
1318,alpha
1319,alpha
1320,alpha
1321,alpha
1322,alpha
1323,alpha
1324,alpha
1325,alpha
1326,alpha
1327,alpha
1328,alpha
1329,alpha
1330,alpha
1331,alpha
1332,alpha
1333,alpha
1334,alpha
1335,alpha
1336,alpha
1337,alpha
1338,alpha
1339,alpha
1340,alpha
1341,alpha
1342,alpha
1343,alpha
1344,alpha
1345,alpha
1346,alpha
1347,alpha
1348,alpha
1349,alpha
1350,alpha
1351,alpha
1352,alpha
1353,alpha
1354,alpha
1355,alpha
1356,alpha
1357,alpha
1358,alpha
1359,alpha
1360,alpha
1361,alpha
1362,alpha
1363,alpha
1364,alpha
1365,alpha
1366,alpha
1367,alpha
1368,alpha
1369,alpha
1370,alpha
1371,alpha
1372,alpha
1373,alpha
1374,alpha
1375,alpha
1376,alpha
1377,alpha
1378,alpha
1379,alpha
1380,alpha
1381,alpha
1382,alpha
1383,alpha
1384,alpha
1385,alpha
1386,alpha
1387,alpha
1388,alpha
1389,alpha
1390,alpha
1391,alpha
1392,alpha
1393,alpha
1394,alpha
1395,alpha
1396,alpha
1397,alpha
1398,alpha
1399,alpha
1400,alpha
1401,alpha
1402,alpha
1403,alpha
1404,alpha
1405,alpha
1406,alpha
1407,alpha
1408,alpha
1409,alpha
1410,alpha
1411,alpha
1412,alpha
1413,alpha
1414,alpha
1415,alpha
1416,alpha
1417,alpha
1418,alpha
1419,alpha
1420,alpha
1421,alpha
1422,alpha
1423,alpha
1424,alpha
1425,alpha
1426,alpha
1427,alpha
1428,alpha
1429,alpha
1430,alpha
1431,alpha
1432,alpha
1433,alpha
1434,alpha
1435,alpha
1436,alpha
1437,alpha
1438,alpha
1439,alpha
1440,alpha
1441,alpha
1442,alpha
1443,alpha
1444,alpha
1445,alpha
1446,alpha
1447,alpha
1448,alpha
1449,alpha
1450,alpha
1451,alpha
1452,alpha
1453,alpha
1454,alpha
1455,alpha
1456,alpha
1457,alpha
1458,alpha
1459,alpha
1460,alpha
1461,alpha
1462,alpha
1463,alpha
1464,alpha
1465,alpha
1466,alpha
1467,alpha
1468,alpha
1469,alpha
1470,alpha
1471,alpha
1472,alpha
1473,alpha
1474,alpha
1475,alpha
1476,alpha
1477,alpha
1478,alpha
1479,alpha
1480,alpha
1481,alpha
1482,alpha
1483,alpha
1484,alpha
1485,alpha
1486,alpha
1487,alpha
1488,alpha
1489,alpha
1490,alpha
1491,alpha
1492,alpha
1493,alpha
1494,alpha
1495,alpha
1496,alpha
1497,alpha
1498,alpha
1499,alpha
1500,alpha
1501,alpha
1502,alpha
1503,alpha
1504,alpha
1505,alpha
1506,alpha
1507,alpha
1508,alpha
1509,alpha
1510,alpha
1511,alpha
1512,alpha
1513,alpha
1514,alpha
1515,alpha
1516,alpha
1517,delta
1518,delta
1519,delta
1520,delta
1521,delta
1522,delta
1523,delta
1524,delta
1525,delta
1526,delta
1527,delta
1528,delta
1529,delta
1530,delta
1531,delta
1532,delta
1533,delta
1534,delta
1535,delta
1536,delta
1537,delta
1538,delta
1539,delta
1540,delta
1541,delta
1542,delta
1543,delta
1544,delta
1545,delta
1546,delta
1547,gamma
1548,gamma
1549,gamma
1550,gamma
1551,gamma
1552,gamma
1553,gamma
1554,gamma
1555,gamma
1556,gamma
1557,gamma
1558,gamma
1559,gamma
1560,gamma
1561,gamma
1562,gamma
1563,gamma
1564,gamma
1565,gamma
1566,gamma
1567,gamma
1568,gamma
1569,gamma
1570,gamma
1571,gamma
1572,gamma
1573,gamma
1574,gamma
1575,gamma
1576,gamma
1577,gamma
1578,gamma
1579,gamma
1580,gamma
1581,gamma
1582,gamma
1583,gamma
1584,gamma
1585,gamma
1586,gamma
1587,gamma
1588,gamma
1589,gamma
1590,gamma
1591,gamma
1592,gamma
1593,gamma
1594,gamma
1595,gamma
1596,gamma
1597,gamma
1598,gamma
1599,gamma
1600,gamma
